"uploader","created_at","title","content","theme"
"송은우","2020-12-10 15:00:40","꿈을 꾸는 사람","사람들은 자신의 꿈의 크기까지만 성장할 수 있습니다. <br> 세상을 변화 시키는, 꿈을 꾸는 사람이 되어요!","Daily Story"
"손승현","2020-12-11 15:00:40","나른한 휴일의 필수템, 푹신한 쿠션!","기대고 싶은 날이 있어 <br>오늘 같은 날-",""
"김두리","2020-12-11 18:00:40","나에게 맞는 촉촉함 ✨","추운 겨울철, 나를 건조하지 않게 지켜줄 아이템들을 지금 확인하세요","Exclusive"
"윤지영","2020-12-11 20:00:40","모던한 느낌은 모다?!","모던한 식탁을 위한 준비, 동묘 프렌즈와 함께해요",""
"최준","2020-12-12 10:30:40","따듯한 연말은 역시 집콕 파티지 😎","올해는 집콕 파티지! 준비물은 내가 다 해놨어 (으쓱)","Exclusive"
"오종택","2020-12-13 12:30:40","깨끗한 욕실을 원해? 🛁","보기만 해도 기분 좋아지는 화장실을 위해..!",""
"양준식","2020-12-14 16:25:40","신발이 곳 날개다 👼🏻","예쁜 신발은 보기만 해도 기분이 좋아지지 💕",""
"박지훈","2020-12-15 13:17:40","감각적인 나를 위한 아이템","동묘 프렌즈의 추천 아이템을 만나보세요!","Exclusive"
"이소헌","2020-12-16 14:30:40","오늘 하루도 수고했어요 ☺️","다들 오늘 하루는 어떠셨나요? ","Daily Story"
"최운정","2020-12-17 17:38:40","누구라도 자신만의 스타일이 있어야 한다","당신만의 스타일링 팁을 알려주세요!","Daily Story"
"김신영","2020-12-18 09:56:40","아날로그 감성은 역시 노트가 최고지 📔","갬성돋는 아이템, 동묘 프렌즈의 노트를 보여드릴게요","Exclusive"
"김관희","2020-12-18 11:38:40","비오는 날에도 화사하게!","칙칙한 날씨에도 내 마음을 화사하게 해줄 동묘 프렌즈의 우산을 확인하세요!","Exclusive"
"김예리","2020-12-18 15:43:40","여행을 떠나요!","매일 반복되는 일상이 지루하게 느껴지는 당신, 새로운 일상을 위한 아이디어를 알려주세요","Daily Story"
